Date,Model,Actual,Predicted,Probability
2020-12-05,Logistic Regression,0,0,0.4763720387965265
2020-12-05,Logistic Regression,0,1,0.7887976021926995
2020-12-06,Logistic Regression,1,1,0.6564574761179494
2020-12-06,Logistic Regression,1,1,0.6685946395059147
2020-12-06,Logistic Regression,0,1,0.7288574787290206
2020-12-06,Logistic Regression,1,1,0.7554260713834274
2020-12-07,Logistic Regression,1,1,0.6050309043863233
2020-12-11,Logistic Regression,1,1,0.7038844801855423
2020-12-12,Logistic Regression,0,1,0.5221744711746025
2020-12-12,Logistic Regression,1,0,0.18064239783533825
2020-12-12,Logistic Regression,0,1,0.6528640092254342
2020-12-12,Logistic Regression,0,0,0.4899944319486018
2020-12-13,Logistic Regression,1,1,0.7332433719185897
2020-12-13,Logistic Regression,0,0,0.413423949255015
2020-12-13,Logistic Regression,0,1,0.6468236075101206
2020-12-13,Logistic Regression,1,1,0.6425346657175696
2020-12-13,Logistic Regression,0,0,0.48618734337648206
2020-12-15,Logistic Regression,1,1,0.690022233153279
2020-12-15,Logistic Regression,0,1,0.87859790121127
2020-12-16,Logistic Regression,0,0,0.4161163555800187
2020-12-16,Logistic Regression,1,0,0.3627781150615431
2020-12-16,Logistic Regression,0,0,0.4358112052039288
2020-12-16,Logistic Regression,0,0,0.20263539317624454
2020-12-16,Logistic Regression,1,1,0.9174116469254654
2020-12-16,Logistic Regression,0,1,0.8694241554104241
2020-12-17,Logistic Regression,1,1,0.6094600212173678
2020-12-17,Logistic Regression,0,1,0.6269234658479023
2020-12-19,Logistic Regression,1,0,0.4699043977786184
2020-12-19,Logistic Regression,0,1,0.7515278577704688
2020-12-19,Logistic Regression,1,0,0.49102573086402035
2020-12-19,Logistic Regression,0,0,0.48524965389113817
2020-12-20,Logistic Regression,0,0,0.39626738043146775
2020-12-20,Logistic Regression,0,1,0.8719324375199105
2020-12-20,Logistic Regression,1,1,0.6886143114545316
2020-12-20,Logistic Regression,1,1,0.5805326253218618
2020-12-21,Logistic Regression,1,0,0.24844246368239056
2020-12-21,Logistic Regression,1,1,0.6460102140898313
2020-12-26,Logistic Regression,0,0,0.2802522445733393
2020-12-26,Logistic Regression,0,1,0.8019992318923385
2020-12-26,Logistic Regression,1,1,0.5762371663488932
2020-12-26,Logistic Regression,1,1,0.589392550621795
2020-12-26,Logistic Regression,1,1,0.6282947342642612
2020-12-26,Logistic Regression,0,0,0.4202217232097102
2020-12-27,Logistic Regression,0,0,0.3891644655067375
2020-12-27,Logistic Regression,0,0,0.49063502520940105
2020-12-27,Logistic Regression,1,0,0.46806264180209767
2020-12-27,Logistic Regression,0,1,0.5238853701204593
2020-12-28,Logistic Regression,0,1,0.5851043954178368
2020-12-28,Logistic Regression,0,0,0.44327769770462033
2020-12-29,Logistic Regression,0,0,0.3705647227350948
2020-12-29,Logistic Regression,1,1,0.7211715503960817
2020-12-29,Logistic Regression,0,0,0.4080339479962834
2020-12-29,Logistic Regression,0,0,0.4565870856489824
2020-12-29,Logistic Regression,0,0,0.2939897719956553
2020-12-30,Logistic Regression,0,0,0.42177115333477216
2021-01-01,Logistic Regression,0,0,0.23176141806995454
2021-01-01,Logistic Regression,1,1,0.5838937007101435
2021-01-02,Logistic Regression,1,1,0.76378692911667
2021-01-02,Logistic Regression,0,0,0.2977490843890334
2021-01-02,Logistic Regression,1,1,0.6276643844744587
2021-01-02,Logistic Regression,1,1,0.6242259773791318
2021-01-03,Logistic Regression,1,0,0.46586758015307494
2021-01-03,Logistic Regression,1,1,0.5749003272276287
2021-01-04,Logistic Regression,0,1,0.73530839058457
2021-01-12,Logistic Regression,0,1,0.7216625646979715
2021-01-12,Logistic Regression,0,0,0.3929807426418218
2021-01-12,Logistic Regression,1,0,0.35130315844669835
2021-01-13,Logistic Regression,0,1,0.6502031745249804
2021-01-13,Logistic Regression,0,0,0.30720838486679986
2021-01-14,Logistic Regression,0,0,0.47560704013552607
2021-01-16,Logistic Regression,0,1,0.5011298300394134
2021-01-16,Logistic Regression,0,0,0.2950677104346919
2021-01-16,Logistic Regression,0,0,0.21297719946970448
2021-01-16,Logistic Regression,1,1,0.5687188956012538
2021-01-16,Logistic Regression,0,0,0.2122845423226047
2021-01-17,Logistic Regression,1,1,0.6238617661186275
2021-01-17,Logistic Regression,0,1,0.6947680640129171
2021-01-17,Logistic Regression,1,1,0.5347587688486672
2021-01-18,Logistic Regression,1,0,0.2840870892959783
2021-01-19,Logistic Regression,1,1,0.5915170831316034
2021-01-19,Logistic Regression,0,0,0.4882848132573457
2021-01-20,Logistic Regression,0,1,0.5713971411963824
2021-01-20,Logistic Regression,1,0,0.38294974950033706
2021-01-21,Logistic Regression,0,0,0.3239103052808687
2021-01-23,Logistic Regression,0,0,0.4689410274722157
2021-01-26,Logistic Regression,1,1,0.7126672362250579
2021-01-26,Logistic Regression,1,0,0.4193834760374328
2021-01-26,Logistic Regression,1,1,0.5384320832027923
2021-01-26,Logistic Regression,1,1,0.5580509583111858
2021-01-27,Logistic Regression,1,1,0.5663653247512128
2021-01-27,Logistic Regression,0,0,0.4920189670238007
2021-01-27,Logistic Regression,0,0,0.22662533199552343
2021-01-27,Logistic Regression,0,0,0.401428289419117
2021-01-27,Logistic Regression,1,1,0.7074647824103802
2021-01-28,Logistic Regression,1,1,0.7602267450774142
2021-01-30,Logistic Regression,0,1,0.5654802927212325
2021-01-30,Logistic Regression,0,0,0.3699967335567677
2021-01-30,Logistic Regression,1,0,0.4477777449511902
2021-01-30,Logistic Regression,0,0,0.3616003369295066
2021-01-30,Logistic Regression,0,0,0.19009019780329292
2021-01-30,Logistic Regression,0,0,0.29657780546614054
2021-01-31,Logistic Regression,0,1,0.6383646562996699
2021-01-31,Logistic Regression,1,0,0.3360187390609051
2021-01-31,Logistic Regression,1,1,0.5747581301483642
2021-01-31,Logistic Regression,0,0,0.410779786575181
2021-02-02,Logistic Regression,1,0,0.2631079539065076
2021-02-02,Logistic Regression,1,0,0.4742164747552589
2021-02-02,Logistic Regression,1,1,0.540268364105101
2021-02-02,Logistic Regression,1,0,0.21456890176644355
2021-02-03,Logistic Regression,0,1,0.5323295302893771
2021-02-03,Logistic Regression,1,1,0.5744546245637698
2021-02-03,Logistic Regression,0,1,0.5536805155881594
2021-02-03,Logistic Regression,0,1,0.6708984220578283
2021-02-03,Logistic Regression,1,0,0.4140777971788134
2021-02-04,Logistic Regression,0,0,0.3272764358619795
2021-02-06,Logistic Regression,1,1,0.6143493066398258
2021-02-06,Logistic Regression,0,0,0.4568986341747233
2021-02-06,Logistic Regression,0,0,0.2953746099627374
2021-02-06,Logistic Regression,1,1,0.5599909693215245
2021-02-06,Logistic Regression,0,0,0.35814739024926767
2021-02-07,Logistic Regression,1,1,0.6092505983743641
2021-02-07,Logistic Regression,1,1,0.6265166614048929
2021-02-07,Logistic Regression,0,0,0.18917224445417313
2021-02-07,Logistic Regression,0,0,0.35027956651841435
2021-02-08,Logistic Regression,0,0,0.4530085492089677
2021-02-13,Logistic Regression,1,0,0.49274040213785275
2021-02-13,Logistic Regression,1,0,0.42539917829144847
2021-02-13,Logistic Regression,1,1,0.5155376961785119
2021-02-13,Logistic Regression,0,0,0.3820764688284518
2021-02-14,Logistic Regression,0,0,0.2451819741377285
2021-02-14,Logistic Regression,1,0,0.28980538016899526
2021-02-14,Logistic Regression,0,0,0.2214949455650026
2021-02-14,Logistic Regression,1,1,0.5853078453729529
2021-02-15,Logistic Regression,0,0,0.3751194816401685
2021-02-15,Logistic Regression,1,0,0.35682154396311394
2021-02-17,Logistic Regression,0,0,0.404811578904723
2021-02-17,Logistic Regression,1,1,0.6238358261266458
2021-02-19,Logistic Regression,0,1,0.5474083170770785
2021-02-20,Logistic Regression,0,1,0.51911795290698
2021-02-20,Logistic Regression,0,1,0.6740974933493031
2021-02-20,Logistic Regression,0,0,0.043866404296045367
2021-02-20,Logistic Regression,0,0,0.4026171665924051
2021-02-21,Logistic Regression,0,1,0.5613459945349899
2021-02-21,Logistic Regression,1,1,0.5216381969398535
2021-02-21,Logistic Regression,1,0,0.460499881031053
2021-02-21,Logistic Regression,1,0,0.4666290858786031
2021-02-22,Logistic Regression,1,0,0.2916725872979212
2021-02-23,Logistic Regression,1,0,0.2559566837478477
2021-02-27,Logistic Regression,1,1,0.6393678746801168
2021-02-27,Logistic Regression,0,0,0.18776397862256072
2021-02-27,Logistic Regression,0,0,0.43972334111083056
2021-02-27,Logistic Regression,0,0,0.4019221333421432
2021-02-28,Logistic Regression,0,0,0.2947687673475147
2021-02-28,Logistic Regression,1,0,0.49301285515538035
2021-02-28,Logistic Regression,1,0,0.49034263261208494
2021-02-28,Logistic Regression,0,0,0.45754219847867655
2021-02-28,Logistic Regression,0,0,0.4498599018098839
2021-03-01,Logistic Regression,0,0,0.2723689488385089
2021-03-02,Logistic Regression,1,1,0.7714093532404875
2021-03-03,Logistic Regression,0,1,0.6555940817486565
2021-03-03,Logistic Regression,0,0,0.3170701981661159
2021-03-03,Logistic Regression,0,0,0.23489327891150874
2021-03-04,Logistic Regression,0,0,0.22876104468341577
2021-03-04,Logistic Regression,0,1,0.7368911321380461
2021-03-04,Logistic Regression,0,0,0.2181665702460609
2021-03-06,Logistic Regression,0,0,0.2986853752585961
2021-03-06,Logistic Regression,0,0,0.29491266704758906
2021-03-06,Logistic Regression,0,0,0.3256516193420741
2021-03-06,Logistic Regression,1,1,0.6621383426579872
2021-03-07,Logistic Regression,1,1,0.5244692499231359
2021-03-07,Logistic Regression,0,1,0.715894997605532
2021-03-07,Logistic Regression,0,0,0.14110512039216716
2021-03-07,Logistic Regression,0,0,0.4915071031669178
2021-03-08,Logistic Regression,0,0,0.35327385447807197
2021-03-08,Logistic Regression,0,1,0.6383441413240155
2021-03-10,Logistic Regression,1,1,0.5025334707332998
2021-03-12,Logistic Regression,0,0,0.48920380022018584
2021-03-13,Logistic Regression,0,0,0.40030842099526953
2021-03-13,Logistic Regression,0,1,0.5702301166018968
2021-03-13,Logistic Regression,1,0,0.3792833056587628
2021-03-13,Logistic Regression,1,1,0.6140288465339299
2021-03-14,Logistic Regression,1,1,0.5237461707741644
2021-03-14,Logistic Regression,0,0,0.37869815337865037
2021-03-14,Logistic Regression,1,1,0.7285469987311657
2021-03-14,Logistic Regression,1,1,0.5416549116808512
2021-03-15,Logistic Regression,0,0,0.40716994689276115
2021-03-19,Logistic Regression,1,1,0.7886433582609801
2021-03-20,Logistic Regression,1,0,0.39170080598809937
2021-03-21,Logistic Regression,1,1,0.7284470933652536
2021-03-21,Logistic Regression,0,0,0.48103728174629923
2021-04-03,Logistic Regression,1,1,0.9779125896937008
2021-04-03,Logistic Regression,1,0,0.23302703617688195
2021-04-03,Logistic Regression,0,1,0.793007614173389
2021-04-03,Logistic Regression,1,1,0.6470211748888987
2021-04-04,Logistic Regression,1,1,0.5768519099127435
2021-04-04,Logistic Regression,1,1,0.7922031696885059
2021-04-04,Logistic Regression,1,0,0.4515798350859122
2021-04-04,Logistic Regression,1,0,0.4743245615310491
2021-04-05,Logistic Regression,0,0,0.4411537100562278
2021-04-05,Logistic Regression,1,0,0.37358943441333525
2021-04-09,Logistic Regression,0,0,0.23656129210711707
2021-04-10,Logistic Regression,1,1,0.7556841724077555
2021-04-10,Logistic Regression,1,1,0.6709611791250522
2021-04-10,Logistic Regression,1,0,0.4565152583845161
2021-04-11,Logistic Regression,1,0,0.4956744720168773
2021-04-11,Logistic Regression,1,1,0.7156364250374608
2021-04-11,Logistic Regression,1,1,0.7807954334168379
2021-04-11,Logistic Regression,1,1,0.7861952475194467
2021-04-12,Logistic Regression,0,1,0.646407205216953
2021-04-12,Logistic Regression,1,0,0.3560331661397938
2021-04-16,Logistic Regression,1,0,0.43355867138922405
2021-04-17,Logistic Regression,1,1,0.808618406685903
2021-04-17,Logistic Regression,0,0,0.20437811538584932
2021-04-18,Logistic Regression,0,1,0.5170780226323658
2021-04-18,Logistic Regression,1,0,0.4249361370848899
2021-04-19,Logistic Regression,0,1,0.8817444169450845
2021-04-20,Logistic Regression,0,1,0.5321506797970476
2021-04-21,Logistic Regression,1,1,0.8674132769192758
2021-04-21,Logistic Regression,1,1,0.5410809834321785
2021-04-22,Logistic Regression,1,1,0.5418632905478703
2021-04-23,Logistic Regression,0,0,0.4460059553443088
2021-04-24,Logistic Regression,0,0,0.3639786078490243
2021-04-24,Logistic Regression,0,1,0.5710545024149947
2021-04-24,Logistic Regression,0,0,0.3373679095396328
2021-04-25,Logistic Regression,1,0,0.22073694078462597
2021-04-25,Logistic Regression,0,1,0.8150719386164618
2021-04-25,Logistic Regression,1,1,0.6185224921056344
2021-04-26,Logistic Regression,1,0,0.4833995927091417
2021-04-30,Logistic Regression,0,0,0.46189684496727534
2021-05-01,Logistic Regression,0,0,0.18683360601070464
2021-05-01,Logistic Regression,1,0,0.3316323450349733
2021-05-01,Logistic Regression,0,0,0.48248834890477216
2021-05-01,Logistic Regression,0,0,0.222902717128375
2021-05-02,Logistic Regression,0,0,0.32424023566562143
2021-05-02,Logistic Regression,1,1,0.6897019773804318
2021-05-03,Logistic Regression,0,1,0.6315892778934458
2021-05-03,Logistic Regression,1,0,0.3112569877597526
2021-05-07,Logistic Regression,1,1,0.5925398101455965
2021-05-08,Logistic Regression,1,1,0.7841437397895249
2021-05-08,Logistic Regression,0,0,0.336194191117878
2021-05-08,Logistic Regression,1,0,0.42553313425081885
2021-05-08,Logistic Regression,0,1,0.6447105972215791
2021-05-09,Logistic Regression,1,1,0.7027890497597904
2021-05-09,Logistic Regression,1,1,0.5370298873071638
2021-05-09,Logistic Regression,1,1,0.6248927249914906
2021-05-09,Logistic Regression,0,0,0.24586286835717355
2021-05-10,Logistic Regression,0,0,0.3393345333847664
2021-05-11,Logistic Regression,1,1,0.5879638234434796
2021-05-11,Logistic Regression,1,0,0.38343219580799254
2021-05-12,Logistic Regression,0,1,0.5996829140310724
2021-05-13,Logistic Regression,0,0,0.3374328233071919
2021-05-13,Logistic Regression,1,1,0.6673211434510734
2021-05-14,Logistic Regression,1,1,0.7207811141100127
2021-05-15,Logistic Regression,1,0,0.3546082418793065
2021-05-15,Logistic Regression,0,0,0.47184970426090955
2021-05-15,Logistic Regression,1,0,0.42849283734930327
2021-05-16,Logistic Regression,1,1,0.5564700402786563
2021-05-16,Logistic Regression,0,0,0.3449968028275401
2021-05-16,Logistic Regression,1,0,0.38287701427084897
2021-05-16,Logistic Regression,0,0,0.2257700631548136
2021-05-18,Logistic Regression,0,0,0.34543659313561437
2021-05-18,Logistic Regression,0,0,0.3419521932725607
2021-05-18,Logistic Regression,1,1,0.623774769758854
2021-05-18,Logistic Regression,1,0,0.464730354589705
2021-05-19,Logistic Regression,1,0,0.4861492649786479
2021-05-19,Logistic Regression,1,1,0.6508436412835478
2021-05-19,Logistic Regression,1,0,0.2900691795865893
2021-05-19,Logistic Regression,1,1,0.576416374855276
2021-05-19,Logistic Regression,0,0,0.30320208717363273
2021-05-19,Logistic Regression,0,1,0.735862365744298
2021-05-23,Logistic Regression,0,0,0.3714621559827809
2021-05-23,Logistic Regression,1,0,0.4449695056892839
2021-05-23,Logistic Regression,0,0,0.36624094049957556
2021-05-23,Logistic Regression,1,1,0.8262216105983266
2021-05-23,Logistic Regression,1,1,0.8659888754989721
2021-05-23,Logistic Regression,0,0,0.44303895270389715
2021-05-23,Logistic Regression,1,1,0.5687223311693358
2021-05-23,Logistic Regression,0,0,0.4663666316442549
2021-05-23,Logistic Regression,1,0,0.23525402722721378
2021-05-23,Logistic Regression,1,0,0.2981896015868604
2021-08-13,Logistic Regression,0,0,0.40116849192594867
2021-08-14,Logistic Regression,0,0,0.29806231172781084
2021-08-14,Logistic Regression,1,0,0.3465066668320597
2021-08-14,Logistic Regression,1,1,0.5322716364899261
2021-08-14,Logistic Regression,1,0,0.23675412547407637
2021-08-14,Logistic Regression,1,1,0.8164571626661398
2021-08-14,Logistic Regression,1,0,0.4806875046320389
2021-08-14,Logistic Regression,1,1,0.6687440293214911
2021-08-15,Logistic Regression,1,1,0.7968619743192126
2021-08-15,Logistic Regression,0,1,0.6301858877559933
2021-08-21,Logistic Regression,1,1,0.8643578575647115
2021-08-21,Logistic Regression,0,0,0.31594604061715237
2021-08-21,Logistic Regression,1,0,0.3826190090634438
2021-08-21,Logistic Regression,0,0,0.34106353801425904
2021-08-21,Logistic Regression,0,1,0.5182555701933351
2021-08-21,Logistic Regression,0,0,0.23205861892179272
2021-08-22,Logistic Regression,0,1,0.5934691305881841
2021-08-22,Logistic Regression,0,0,0.22936783916016207
2021-08-22,Logistic Regression,0,1,0.617056914883703
2021-08-23,Logistic Regression,1,1,0.699571570530099
2021-08-28,Logistic Regression,1,1,0.7969872795664084
2021-08-28,Logistic Regression,1,0,0.39730657139106884
2021-08-28,Logistic Regression,1,1,0.6223719809929984
2021-08-28,Logistic Regression,0,0,0.293642423053482
2021-08-28,Logistic Regression,0,1,0.6599219330200047
2021-08-28,Logistic Regression,1,1,0.574082262443801
2021-08-28,Logistic Regression,0,1,0.6392173934915938
2021-08-29,Logistic Regression,0,0,0.4199199615056752
2021-08-29,Logistic Regression,0,0,0.13658232237407705
2021-08-29,Logistic Regression,0,0,0.2705332729227418
2021-09-11,Logistic Regression,0,1,0.6736760433499699
2021-09-11,Logistic Regression,1,1,0.5139409393372653
2021-09-11,Logistic Regression,0,0,0.48005787100515884
2021-09-11,Logistic Regression,0,0,0.46476288202089794
2021-09-11,Logistic Regression,0,1,0.7640451457689879
2021-09-11,Logistic Regression,1,1,0.5645497114572646
2021-09-11,Logistic Regression,0,0,0.25458217678081013
2021-09-11,Logistic Regression,1,0,0.4196096583196229
2021-09-12,Logistic Regression,1,1,0.8699666818850176
2021-09-13,Logistic Regression,1,0,0.48985048379019264
2021-09-17,Logistic Regression,0,0,0.47636310694344086
2021-09-18,Logistic Regression,0,0,0.42408845573032017
2021-09-18,Logistic Regression,0,0,0.2613127981998252
2021-09-18,Logistic Regression,1,0,0.469500383450282
2021-09-18,Logistic Regression,0,1,0.6809740324512633
2021-09-18,Logistic Regression,1,1,0.5843368983939092
2021-09-18,Logistic Regression,1,0,0.338515070079042
2021-09-19,Logistic Regression,1,1,0.6838338287822802
2021-09-19,Logistic Regression,1,0,0.30876458776000765
2021-09-19,Logistic Regression,1,0,0.4063123469676516
2021-09-25,Logistic Regression,1,1,0.6620867890729434
2021-09-25,Logistic Regression,0,0,0.2832803769626761
2021-09-25,Logistic Regression,1,1,0.6378358652095117
2021-09-25,Logistic Regression,0,0,0.46420696742930634
2021-09-25,Logistic Regression,0,0,0.3720924590422623
2021-09-25,Logistic Regression,0,1,0.5877134639061845
2021-09-25,Logistic Regression,1,1,0.6605424778991811
2021-09-26,Logistic Regression,0,0,0.3734124580421957
2021-09-26,Logistic Regression,1,1,0.5374269698638771
2021-09-27,Logistic Regression,0,0,0.3647228606885149
2021-10-02,Logistic Regression,0,0,0.37205439277856955
2021-10-02,Logistic Regression,0,0,0.2892039163658097
2021-10-02,Logistic Regression,1,0,0.37733159921666365
2021-10-02,Logistic Regression,0,0,0.085530698741504
2021-10-02,Logistic Regression,0,1,0.5062977813356807
2021-10-02,Logistic Regression,1,1,0.6905264677885787
2021-10-03,Logistic Regression,1,0,0.44592828368267273
2021-10-03,Logistic Regression,1,1,0.5016622452114273
2021-10-03,Logistic Regression,1,1,0.6613307279546772
2021-10-03,Logistic Regression,1,1,0.6087956842279704
2021-10-16,Logistic Regression,0,0,0.03527365166512401
2021-10-16,Logistic Regression,0,1,0.6248855983784113
2021-10-16,Logistic Regression,0,0,0.38506461595164915
2021-10-16,Logistic Regression,1,0,0.3608045767817153
2021-10-16,Logistic Regression,1,1,0.6691147889658942
2021-10-16,Logistic Regression,1,1,0.5542903809557005
2021-10-16,Logistic Regression,0,0,0.3194722101552467
2021-10-17,Logistic Regression,0,0,0.26997339529665404
2021-10-17,Logistic Regression,1,1,0.8063057419729449
2021-10-18,Logistic Regression,1,1,0.5227736749594736
2021-10-22,Logistic Regression,1,0,0.4212857779003693
2021-10-23,Logistic Regression,1,1,0.646656933391646
2021-10-23,Logistic Regression,1,1,0.9498874230024542
2021-10-23,Logistic Regression,0,0,0.2258634856396164
2021-10-23,Logistic Regression,1,1,0.7043847285951814
2021-10-23,Logistic Regression,0,1,0.536120995514604
